Metric,PPO_Mean,PPO_Std,PPO_Median,PPO_95th,Fixed_Mean,Fixed_Std,Fixed_Median,Fixed_95th,Improvement_Pct,P_Value,Cohens_D,Effect_Size,Test_Used
Delay,0.5732140858819956,0.3774132904415152,0.5216530799732628,1.0,0.5208662235669157,0.41784120322491985,0.6650328862740431,1.0,-10.050154904766021,3.3334730903395166e-122,0.1314808054724219,negligible,Mann-Whitney U
Queue Length,0.1644285714285714,0.241493128532474,0.1428571428571428,0.8571428571428571,0.22758730158730153,0.2573685895442486,0.2857142857142857,0.7142857142857143,27.75142976705258,3.988463607415335e-82,0.25308325281449917,small,Mann-Whitney U
Throughput,0.22955555555555557,0.4744544620765115,0.0,1.0,0.15455555555555556,0.4876532269613075,0.0,1.0,48.52624011502517,1.0788089745456614e-66,0.1558930343391893,negligible,Mann-Whitney U
Stop Ratio,0.5673202380952381,0.47475742638572865,1.0,1.0,0.5474362433862434,0.4826179572132083,0.8333333333333334,1.0,-3.632202827127317,0.017400667528483273,0.04153715432933381,negligible,Mann-Whitney U
Pressure,1.151,1.6904518997273184,1.0,6.0,1.5827777777777778,1.9086927947839187,2.0,5.0,27.27974727974728,2.2874878811099926e-82,0.23949366291428936,small,Mann-Whitney U
